time:1  Численное значение               Точное значение         Погрешность
0                   0                             0                             0
1                0.25                          0.25                             0
2                   1                             1                             0
3                2.25                          2.25                             0
4                   4                             4                             0
5                6.25                          6.25                             0
6                   9                             9                             0
7                   0                             0                             0
8                0.25                          0.25                             0
9                   1                             1                             0
10                2.25                          2.25                             0
11                   4                             4                             0
12                6.25                          6.25                             0
13                   9                             9                             0
14                   0                             0                             0
15                0.25                          0.25                             0
16                   1                             1                             0
17                2.25                          2.25                             0
18                   4                             4                             0
19                6.25                          6.25                             0
20                   9                             9                             0
21                   0                             0                             0
22                0.25                          0.25                             0
23                   1                             1                             0
24                2.25                          2.25                             0
25                   4                             4                             0
26                6.25                          6.25                             0
27                   9                             9                             0
28                   0                             0                             0
29                0.25                          0.25                             0
30                   1                             1                             0
31                2.25                          2.25                             0
32                   4                             4                             0
33                6.25                          6.25                             0
34                   9                             9                             0
35                   0                             0                             0
36                0.25                          0.25                             0
37                   1                             1                             0
38                2.25                          2.25                             0
39                   4                             4                             0
40                6.25                          6.25                             0
41                   9                             9                             0
42                   0                             0                             0
43                0.25                          0.25                             0
44                   1                             1                             0
45                2.25                          2.25                             0
46                   4                             4                             0
47                6.25                          6.25                             0
48                   9                             9                             0
time:1.125  Численное значение               Точное значение         Погрешность
0                   0                             0                             0
1                0.25                          0.25                             0
2                   1                             1                             0
3                2.25                          2.25                             0
4                   4                             4                             0
5                6.25                          6.25                             0
6                   9                             9                             0
7                   0                             0                             0
8                0.25                          0.25                             0
9                   1                             1                             0
10                2.25                          2.25                             0
11                   4                             4                             0
12                6.25                          6.25                             0
13                   9                             9                             0
14                   0                             0                             0
15                0.25                          0.25                             0
16                   1                             1                             0
17                2.25                          2.25                             0
18                   4                             4                             0
19                6.25                          6.25                             0
20                   9                             9                             0
21                   0                             0                             0
22                0.25                          0.25                             0
23                   1                             1                             0
24                2.25                          2.25                             0
25                   4                             4                             0
26                6.25                          6.25                             0
27                   9                             9                             0
28                   0                             0                             0
29                0.25                          0.25                             0
30                   1                             1                             0
31                2.25                          2.25                             0
32                   4                             4                             0
33                6.25                          6.25                             0
34                   9                             9                             0
35                   0                             0                             0
36                0.25                          0.25                             0
37                   1                             1                             0
38                2.25                          2.25                             0
39                   4                             4                             0
40                6.25                          6.25                             0
41                   9                             9                             0
42                   0                             0                             0
43                0.25                          0.25                             0
44                   1                             1                             0
45                2.25                          2.25                             0
